ligand,receptor,type,species
Col2a1,Insrr,R,Mouse
Col3a1,Insrr,R,Mouse
Col4a1,Insrr,R,Mouse
Fgb,Insrr,R,Mouse
Fgg,Insrr,R,Mouse
Amh,Insrr,R,Mouse
Vtn,Insrr,R,Mouse
Anxa1,Insrr,R,Mouse
Hrg,Insrr,R,Mouse
Serping1,Insrr,R,Mouse
Col5a2,Insrr,R,Mouse
Lamb1,Insrr,R,Mouse
Col1a2,Insrr,R,Mouse
Tgfb3,Insrr,R,Mouse
Lamc1,Insrr,R,Mouse
Col11a1,Insrr,R,Mouse
Tdgf1,Insrr,R,Mouse
Osm,Insrr,R,Mouse
St6gal1,Insrr,R,Mouse
Col9a1,Insrr,R,Mouse
Col5a1,Insrr,R,Mouse
Matn1,Insrr,R,Mouse
Lama2,Insrr,R,Mouse
Lama1,Insrr,R,Mouse
Cntf,Insrr,R,Mouse
S100a4,Insrr,R,Mouse
Col8a1,Insrr,R,Mouse
Cd34,Insrr,R,Mouse
Fbn1,Insrr,R,Mouse
Col18a1,Insrr,R,Mouse
Vegfb,Insrr,R,Mouse
Vegfc,Insrr,R,Mouse
Psen1,Insrr,R,Mouse
Inhbe,Insrr,R,Mouse
Jag1,Insrr,R,Mouse
Reln,Insrr,R,Mouse
Col14a1,Insrr,R,Mouse
Col16a1,Insrr,R,Mouse
Mfge8,Insrr,R,Mouse
Pdap1,Insrr,R,Mouse
Adam9,Insrr,R,Mouse
Madcam1,Insrr,R,Mouse
Lamb3,Insrr,R,Mouse
Lamc2,Insrr,R,Mouse
Col9a2,Insrr,R,Mouse
Ebi3,Insrr,R,Mouse
Selplg,Insrr,R,Mouse
Ltbp1,Insrr,R,Mouse
Angpt1,Insrr,R,Mouse
Ctf1,Insrr,R,Mouse
Lama3,Insrr,R,Mouse
Epgn,Insrr,R,Mouse
Nlgn1,Insrr,R,Mouse
Draxin,Insrr,R,Mouse
Nrg4,Insrr,R,Mouse
Prg4,Insrr,R,Mouse
Megf10,Insrr,R,Mouse
Sema3c,Insrr,R,Mouse
Spon2,Insrr,R,Mouse
Sorbs1,Insrr,R,Mouse
Fgf23,Insrr,R,Mouse
Sema4a,Insrr,R,Mouse
Dll4,Insrr,R,Mouse
Ltbp3,Insrr,R,Mouse
Dspp,Insrr,R,Mouse
Clcf1,Insrr,R,Mouse
Cklf,Insrr,R,Mouse
Dkk4,Insrr,R,Mouse
Dkk2,Insrr,R,Mouse
Angpt4,Insrr,R,Mouse
Acrbp,Lrp1b,LR,Mouse
Adam23,Lrp1b,LR,Mouse
Adamts13,Lrp1b,LR,Mouse
Adamts7,Lrp1b,LR,Mouse
Adamtsl4,Lrp1b,LR,Mouse
Adamtsl5,Lrp1b,LR,Mouse
Adgrb1,Lrp1b,LR,Mouse
Afm,Lrp1b,LR,Mouse
Afp,Lrp1b,LR,Mouse
Aggf1,Lrp1b,LR,Mouse
Angptl6,Lrp1b,LR,Mouse
Angptl8,Lrp1b,LR,Mouse
Bmper,Lrp1b,LR,Mouse
Brinp2,Lrp1b,LR,Mouse
C1qc,Lrp1b,LR,Mouse
C1ql1,Lrp1b,LR,Mouse
C1ql2,Lrp1b,LR,Mouse
C1ql3,Lrp1b,LR,Mouse
C1ql4,Lrp1b,LR,Mouse
C1qtnf12,Lrp1b,LR,Mouse
C1qtnf2,Lrp1b,LR,Mouse
C1qtnf3,Lrp1b,LR,Mouse
C1qtnf4,Lrp1b,LR,Mouse
C1qtnf6,Lrp1b,LR,Mouse
C1qtnf7,Lrp1b,LR,Mouse
C1qtnf9,Lrp1b,LR,Mouse
Gm1673,Lrp1b,LR,Mouse
1600012H06Rik,Lrp1b,LR,Mouse
Cbln1,Lrp1b,LR,Mouse
Cbln2,Lrp1b,LR,Mouse
Cbln3,Lrp1b,LR,Mouse
Cbln4,Lrp1b,LR,Mouse
Ccdc3,Lrp1b,LR,Mouse
Ccer2,Lrp1b,LR,Mouse
Cdcp2,Lrp1b,LR,Mouse
Cdsn,Lrp1b,LR,Mouse
Cfp,Lrp1b,LR,Mouse
Cgref1,Lrp1b,LR,Mouse
Chadl,Lrp1b,LR,Mouse
Chga,Lrp1b,LR,Mouse
Chrd,Lrp1b,LR,Mouse
Chrdl1,Lrp1b,LR,Mouse
Chrdl2,Lrp1b,LR,Mouse
Clec11a,Lrp1b,LR,Mouse
Clec18a,Lrp1b,LR,Mouse
Clec18a,Lrp1b,LR,Mouse
Clu,Lrp1b,LR,Mouse
Col20a1,Lrp1b,LR,Mouse
Col26a1,Lrp1b,LR,Mouse
Colec10,Lrp1b,LR,Mouse
Colec11,Lrp1b,LR,Mouse
Cpn2,Lrp1b,LR,Mouse
Crb2,Lrp1b,LR,Mouse
Creg2,Lrp1b,LR,Mouse
Cryab,Lrp1b,LR,Mouse
Csn1s1,Lrp1b,LR,Mouse
Dand5,Lrp1b,LR,Mouse
Deaf1,Lrp1b,LR,Mouse
Dmkn,Lrp1b,LR,Mouse
Ecm1,Lrp1b,LR,Mouse
Ecm2,Lrp1b,LR,Mouse
Egfl6,Lrp1b,LR,Mouse
Egfl7,Lrp1b,LR,Mouse
Egfl8,Lrp1b,LR,Mouse
Emc10,Lrp1b,LR,Mouse
Emilin1,Lrp1b,LR,Mouse
Emilin2,Lrp1b,LR,Mouse
Emilin3,Lrp1b,LR,Mouse
Enam,Lrp1b,LR,Mouse
Enho,Lrp1b,LR,Mouse
Enox1,Lrp1b,LR,Mouse
Enox2,Lrp1b,LR,Mouse
Epdr1,Lrp1b,LR,Mouse
Erfe,Lrp1b,LR,Mouse
Ero1a,Lrp1b,LR,Mouse
Fam20c,Lrp1b,LR,Mouse
Fbln5,Lrp1b,LR,Mouse
Fbln7,Lrp1b,LR,Mouse
Fcer2a,Lrp1b,LR,Mouse
Fmod,Lrp1b,LR,Mouse
Fndc4,Lrp1b,LR,Mouse
Fndc5,Lrp1b,LR,Mouse
Frzb,Lrp1b,LR,Mouse
Grem2,Lrp1b,LR,Mouse
Hdgf,Lrp1b,LR,Mouse
Hgfac,Lrp1b,LR,Mouse
Igfals,Lrp1b,LR,Mouse
Igfbp2,Lrp1b,LR,Mouse
Igfbp3,Lrp1b,LR,Mouse
Igfbp7,Lrp1b,LR,Mouse
Igfbpl1,Lrp1b,LR,Mouse
Iglon5,Lrp1b,LR,Mouse
Il17d,Lrp1b,LR,Mouse
Islr,Lrp1b,LR,Mouse
Kazald1,Lrp1b,LR,Mouse
Kcp,Lrp1b,LR,Mouse
Klk10,Lrp1b,LR,Mouse
Lad1,Lrp1b,LR,Mouse
Lgi3,Lrp1b,LR,Mouse
Lgi4,Lrp1b,LR,Mouse
Lrg1,Lrp1b,LR,Mouse
Ltbp2,Lrp1b,LR,Mouse
Ltbp4,Lrp1b,LR,Mouse
Ly6g5b,Lrp1b,LR,Mouse
Lypd6,Lrp1b,LR,Mouse
Mapt,Lrp1b,LR,Mouse
Matn4,Lrp1b,LR,Mouse
Megf6,Lrp1b,LR,Mouse
Metrn,Lrp1b,LR,Mouse
Metrnl,Lrp1b,LR,Mouse
Mettl24,Lrp1b,LR,Mouse
Mmrn2,Lrp1b,LR,Mouse
Msln,Lrp1b,LR,Mouse
Msmp,Lrp1b,LR,Mouse
Nbl1,Lrp1b,LR,Mouse
Ndfip1,Lrp1b,LR,Mouse
Neto1,Lrp1b,LR,Mouse
Ninj1,Lrp1b,LR,Mouse
Ntn5,Lrp1b,LR,Mouse
Nxph4,Lrp1b,LR,Mouse
Nyx,Lrp1b,LR,Mouse
Omd,Lrp1b,LR,Mouse
Otog,Lrp1b,LR,Mouse
Otor,Lrp1b,LR,Mouse
Papln,Lrp1b,LR,Mouse
Pcdha1,Lrp1b,LR,Mouse
Pcolce,Lrp1b,LR,Mouse
Pdzd11,Lrp1b,LR,Mouse
Pdzd2,Lrp1b,LR,Mouse
Pi16,Lrp1b,LR,Mouse
Pibf1,Lrp1b,LR,Mouse
Pkdcc,Lrp1b,LR,Mouse
Plac9,Lrp1b,LR,Mouse
Plxdc1,Lrp1b,LR,Mouse
Podn,Lrp1b,LR,Mouse
Podnl1,Lrp1b,LR,Mouse
Prelp,Lrp1b,LR,Mouse
Proz,Lrp1b,LR,Mouse
Prr27,Lrp1b,LR,Mouse
Prss38,Lrp1b,LR,Mouse
Prss53,Lrp1b,LR,Mouse
Prss54,Lrp1b,LR,Mouse
Ptx4,Lrp1b,LR,Mouse
Rtbdn,Lrp1b,LR,Mouse
Sdcbp,Lrp1b,LR,Mouse
Sfrp4,Lrp1b,LR,Mouse
Sfrp5,Lrp1b,LR,Mouse
Soga1,Lrp1b,LR,Mouse
Sparc,Lrp1b,LR,Mouse
Spata6,Lrp1b,LR,Mouse
Spink8,Lrp1b,LR,Mouse
Spock2,Lrp1b,LR,Mouse
Stc1,Lrp1b,LR,Mouse
Stc2,Lrp1b,LR,Mouse
Svbp,Lrp1b,LR,Mouse
Tafa3,Lrp1b,LR,Mouse
Tafa4,Lrp1b,LR,Mouse
Tfpi2,Lrp1b,LR,Mouse
Timp4,Lrp1b,LR,Mouse
Tmem25,Lrp1b,LR,Mouse
Tub,Lrp1b,LR,Mouse
Tulp1,Lrp1b,LR,Mouse
Tulp2,Lrp1b,LR,Mouse
Tulp3,Lrp1b,LR,Mouse
Vasn,Lrp1b,LR,Mouse
Vstm2a,Lrp1b,LR,Mouse
Vstm4,Lrp1b,LR,Mouse
Vwa1,Lrp1b,LR,Mouse
Vwa2,Lrp1b,LR,Mouse
Vwc2,Lrp1b,LR,Mouse
Vwc2l,Lrp1b,LR,Mouse
Vwce,Lrp1b,LR,Mouse
Wfdc2,Lrp1b,LR,Mouse
Wfikkn1,Lrp1b,LR,Mouse
Wfikkn2,Lrp1b,LR,Mouse
Wnt10a,Lrp1b,LR,Mouse
Wnt10b,Lrp1b,LR,Mouse
Wnt9a,Lrp1b,LR,Mouse
Ybx1,Lrp1b,LR,Mouse
Zbed3,Lrp1b,LR,Mouse
Fgf12,Lrp1b,R,Mouse
Fgf13,Lrp1b,R,Mouse
Fgf11,Lrp1b,R,Mouse
Fgf14,Lrp1b,R,Mouse
Nrg2,Lrp1b,R,Mouse
Wnt9b,Lrp1b,R,Mouse
Ereg,Lrp1b,R,Mouse
Sema3e,Lrp1b,R,Mouse
Fgf10,Lrp1b,R,Mouse
Fgf16,Lrp1b,R,Mouse
Dhh,Lrp1b,R,Mouse
Efna2,Lrp1b,R,Mouse
Fgf17,Lrp1b,R,Mouse
Pspn,Lrp1b,R,Mouse
Fgf18,Lrp1b,R,Mouse
Farp2,Lrp1b,R,Mouse
Sema3d,Lrp1b,R,Mouse
Nxph2,Lrp1b,R,Mouse
Nxph3,Lrp1b,R,Mouse
Gdf11,Lrp1b,R,Mouse
Sema4f,Lrp1b,R,Mouse
Tgfa,Lrp1b,R,Mouse
Pdgfa,Lrp1b,R,Mouse
Wnt1,Lrp1b,R,Mouse
Fgf1,Lrp1b,R,Mouse
Dcn,Lrp1b,R,Mouse
Inhba,Lrp1b,R,Mouse
Fgf4,Lrp1b,R,Mouse
Vim,Lrp1b,R,Mouse
Fgf2,Lrp1b,R,Mouse
Inhbb,Lrp1b,R,Mouse
Wnt2,Lrp1b,R,Mouse
Cfc1,Lrp1b,R,Mouse
Rbp3,Lrp1b,R,Mouse
Fgf6,Lrp1b,R,Mouse
Fgf3,Lrp1b,R,Mouse
Fgf5,Lrp1b,R,Mouse
Bmp2,Lrp1b,R,Mouse
Bmp4,Lrp1b,R,Mouse
Bmp3,Lrp1b,R,Mouse
Bmp1,Lrp1b,R,Mouse
Pkm,Lrp1b,R,Mouse
Areg,Lrp1b,R,Mouse
Bmp7,Lrp1b,R,Mouse
Fst,Lrp1b,R,Mouse
Efna1,Lrp1b,R,Mouse
Bmp6,Lrp1b,R,Mouse
Igfbp4,Lrp1b,R,Mouse
Fgf9,Lrp1b,R,Mouse
Ntf5,Lrp1b,R,Mouse
Btc,Lrp1b,R,Mouse
Gdnf,Lrp1b,R,Mouse
Wnt5a,Lrp1b,R,Mouse
Gdf5,Lrp1b,R,Mouse
Ccn3,Lrp1b,R,Mouse
Pgf,Lrp1b,R,Mouse
Lum,Lrp1b,R,Mouse
Efna3,Lrp1b,R,Mouse
Efna4,Lrp1b,R,Mouse
Efnb2,Lrp1b,R,Mouse
Efna5,Lrp1b,R,Mouse
Mfap2,Lrp1b,R,Mouse
Fgf8,Lrp1b,R,Mouse
Wnt3,Lrp1b,R,Mouse
Wnt3a,Lrp1b,R,Mouse
Nrg3,Lrp1b,R,Mouse
Nxph1,Lrp1b,R,Mouse
Efnb1,Lrp1b,R,Mouse
Nrg1,Lrp1b,R,Mouse
Efemp1,Lrp1b,R,Mouse
Sema3b,Lrp1b,R,Mouse
Sema3f,Lrp1b,R,Mouse
Sema3a,Lrp1b,R,Mouse
Ihh,Lrp1b,R,Mouse
Efnb3,Lrp1b,R,Mouse
Rspo4,Lrp1b,R,Mouse
Rspo1,Lrp1b,R,Mouse
Sytl3,Lrp1b,R,Mouse
Artn,Lrp1b,R,Mouse
Gdf6,Lrp1b,R,Mouse
Rgmb,Lrp1b,R,Mouse
Rspo2,Lrp1b,R,Mouse
Dlk2,Lrp1b,R,Mouse
Sostdc1,Lrp1b,R,Mouse
Gdf7,Lrp1b,R,Mouse
Nlgn2,Lrp1b,R,Mouse
Wnt8b,Lrp1b,R,Mouse
Rgma,Lrp1b,R,Mouse
Bcan,Lrp1b,R,Mouse
Lrig1,Lrp1b,R,Mouse
Hbegf,Lrp1b,R,Mouse
Nrtn,Lrp1b,R,Mouse
Sost,Lrp1b,R,Mouse
Jam3,Lrp1b,R,Mouse
Rspo3,Lrp1b,R,Mouse
Pdgfd,Lrp1b,R,Mouse
Wnt8a,Lrp1b,R,Mouse
Fgf22,Lrp1b,R,Mouse
Fgf20,Lrp1b,R,Mouse
Pdgfc,Lrp1b,R,Mouse
Sema3g,Lrp1b,R,Mouse
Fgf21,Lrp1b,R,Mouse
Dll3,Lrp1b,R,Mouse
Nlgn3,Lrp1b,R,Mouse
Rph3a,Lrp1b,R,Mouse
Chad,Lrp1b,R,Mouse
Arpc5,Lrp1b,R,Mouse
Cubn,Lrp1b,R,Mouse
F8,Lrp1b,R,Mouse
F13a1,Lrp1b,R,Mouse
F9,Lrp1b,R,Mouse
F10,Lrp1b,R,Mouse
Plat,Lrp1b,R,Mouse
Spink1,Lrp1b,R,Mouse
Apoa1,Lrp1b,R,Mouse
Apoa2,Lrp1b,R,Mouse
Apoc1,Lrp1b,R,Mouse
Apoc2,Lrp1b,R,Mouse
Apoc3,Lrp1b,R,Mouse
C1qb,Lrp1b,R,Mouse
Alb,Lrp1b,R,Mouse
Gc,Lrp1b,R,Mouse
Trf,Lrp1b,R,Mouse
Ltf,Lrp1b,R,Mouse
Hpx,Lrp1b,R,Mouse
C4bp,Lrp1b,R,Mouse
S100a8,Lrp1b,R,Mouse
Serpine1,Lrp1b,R,Mouse
Apoa4,Lrp1b,R,Mouse
Serpine2,Lrp1b,R,Mouse
Lgals1,Lrp1b,R,Mouse
Spp1,Lrp1b,R,Mouse
Col6a3,Lrp1b,R,Mouse
Nid1,Lrp1b,R,Mouse
Timp2,Lrp1b,R,Mouse
Il1rn,Lrp1b,R,Mouse
Tcn2,Lrp1b,R,Mouse
Bgn,Lrp1b,R,Mouse
Ibsp,Lrp1b,R,Mouse
Fbln1,Lrp1b,R,Mouse
Hspa4,Lrp1b,R,Mouse
Mmp13,Lrp1b,R,Mouse
Gpc3,Lrp1b,R,Mouse
Apoc4,Lrp1b,R,Mouse
Lcn2,Lrp1b,R,Mouse
Fbln2,Lrp1b,R,Mouse
Lgals3bp,Lrp1b,R,Mouse
Fgl1,Lrp1b,R,Mouse
Dmp1,Lrp1b,R,Mouse
Itgb3bp,Lrp1b,R,Mouse
Mfap5,Lrp1b,R,Mouse
Adam15,Lrp1b,R,Mouse
Npnt,Lrp1b,R,Mouse
Pcsk9,Lrp1b,R,Mouse
Il1f10,Lrp1b,R,Mouse
Has2,Lrp1b,R,Mouse
Hebp1,Lrp1b,R,Mouse
Podxl2,Lrp1b,R,Mouse
Il36b,Lrp1b,R,Mouse
Il36g,Lrp1b,R,Mouse
Il36a,Lrp1b,R,Mouse
Angptl3,Lrp1b,R,Mouse
Lama5,Lrp1b,R,Mouse
Comp,Lrp1b,R,Mouse
Lamb2,Lrp1b,R,Mouse
Dlk1,Lrp1b,R,Mouse
Jag2,Lrp1b,R,Mouse
Lamc3,Lrp1b,R,Mouse
Igf2,Lrp1b,R,Mouse
Igf1,Lrp1b,R,Mouse
Pltp,Lrp1b,R,Mouse
Rims2,Lrp1b,R,Mouse
Ndp,Lrp1b,R,Mouse
Wnt2b,Lrp1b,R,Mouse
Wnt6,Lrp1b,R,Mouse
Actr2,Lrp1b,R,Mouse
Dll1,Lrp1b,R,Mouse
Mfng,Lrp1b,R,Mouse
Podxl,Lrp1b,R,Mouse
Ccn1,Lrp1b,R,Mouse
Angpt2,Lrp1b,R,Mouse
Adam12,Lrp1b,R,Mouse
Edil3,Lrp1b,R,Mouse
Vegfd,Lrp1b,R,Mouse
Dscam,Lrp1b,R,Mouse
Sema7a,Lrp1b,R,Mouse
Lrig2,Lrp1b,R,Mouse
Dkk1,Lrp1b,R,Mouse
Fgf15,Lrp1b,R,Mouse
Col1a1,Lrp1b,R,Mouse
Col2a1,Lrp1b,R,Mouse
Col3a1,Lrp1b,R,Mouse
Col4a1,Lrp1b,R,Mouse
Fgb,Lrp1b,R,Mouse
Fgg,Lrp1b,R,Mouse
Amh,Lrp1b,R,Mouse
Vtn,Lrp1b,R,Mouse
Anxa1,Lrp1b,R,Mouse
Hrg,Lrp1b,R,Mouse
Col5a2,Lrp1b,R,Mouse
Lamb1,Lrp1b,R,Mouse
Col1a2,Lrp1b,R,Mouse
Lamc1,Lrp1b,R,Mouse
Col11a1,Lrp1b,R,Mouse
Tdgf1,Lrp1b,R,Mouse
St6gal1,Lrp1b,R,Mouse
Col9a1,Lrp1b,R,Mouse
Col5a1,Lrp1b,R,Mouse
Matn1,Lrp1b,R,Mouse
Lama2,Lrp1b,R,Mouse
Lama1,Lrp1b,R,Mouse
S100a4,Lrp1b,R,Mouse
Col8a1,Lrp1b,R,Mouse
Fbn1,Lrp1b,R,Mouse
Col18a1,Lrp1b,R,Mouse
Vegfb,Lrp1b,R,Mouse
Vegfc,Lrp1b,R,Mouse
Psen1,Lrp1b,R,Mouse
Jag1,Lrp1b,R,Mouse
Col14a1,Lrp1b,R,Mouse
Col16a1,Lrp1b,R,Mouse
Mfge8,Lrp1b,R,Mouse
Pdap1,Lrp1b,R,Mouse
Adam9,Lrp1b,R,Mouse
Madcam1,Lrp1b,R,Mouse
Lamb3,Lrp1b,R,Mouse
Lamc2,Lrp1b,R,Mouse
Col9a2,Lrp1b,R,Mouse
Ltbp1,Lrp1b,R,Mouse
Angpt1,Lrp1b,R,Mouse
Lama3,Lrp1b,R,Mouse
Epgn,Lrp1b,R,Mouse
Nlgn1,Lrp1b,R,Mouse
Draxin,Lrp1b,R,Mouse
Nrg4,Lrp1b,R,Mouse
Prg4,Lrp1b,R,Mouse
Megf10,Lrp1b,R,Mouse
Sema3c,Lrp1b,R,Mouse
Spon2,Lrp1b,R,Mouse
Sorbs1,Lrp1b,R,Mouse
Fgf23,Lrp1b,R,Mouse
Sema4a,Lrp1b,R,Mouse
Dll4,Lrp1b,R,Mouse
Ltbp3,Lrp1b,R,Mouse
Dspp,Lrp1b,R,Mouse
Cklf,Lrp1b,R,Mouse
Dkk4,Lrp1b,R,Mouse
Dkk2,Lrp1b,R,Mouse
Angpt4,Lrp1b,R,Mouse
Col6a1,Lrp1b,R,Mouse
Col6a2,Lrp1b,R,Mouse
Arf4,Lrp1b,R,Mouse
Vcl,Lrp1b,R,Mouse
Fgf7,Lrp1b,R,Mouse
Tgm2,Lrp1b,R,Mouse
Col4a5,Lrp1b,R,Mouse
Lrpap1,Lrp1b,R,Mouse
Dsc1,Lrp1b,R,Mouse
Dsc3,Lrp1b,R,Mouse
Lama4,Lrp1b,R,Mouse
Alkal2,Lrp1b,R,Mouse
Alkal1,Lrp1b,R,Mouse
Icam5,Lrp1b,R,Mouse
Tln1,Lrp1b,R,Mouse
Adam23,Fgfr1,L,Mouse
Adamtsl5,Fgfr1,L,Mouse
Adgrb1,Fgfr1,L,Mouse
Aggf1,Fgfr1,L,Mouse
Angptl6,Fgfr1,L,Mouse
C1ql1,Fgfr1,L,Mouse
C1ql2,Fgfr1,L,Mouse
C1ql3,Fgfr1,L,Mouse
C1ql4,Fgfr1,L,Mouse
C1qtnf12,Fgfr1,L,Mouse
C1qtnf2,Fgfr1,L,Mouse
C1qtnf4,Fgfr1,L,Mouse
C1qtnf6,Fgfr1,L,Mouse
Gm1673,Fgfr1,L,Mouse
1600012H06Rik,Fgfr1,L,Mouse
Cbln1,Fgfr1,L,Mouse
Cbln2,Fgfr1,L,Mouse
Cbln3,Fgfr1,L,Mouse
Cbln4,Fgfr1,L,Mouse
Ccdc3,Fgfr1,L,Mouse
Cdcp2,Fgfr1,L,Mouse
Chadl,Fgfr1,L,Mouse
Creg2,Fgfr1,L,Mouse
Cryab,Fgfr1,L,Mouse
Dand5,Fgfr1,L,Mouse
Deaf1,Fgfr1,L,Mouse
Emc10,Fgfr1,L,Mouse
Enho,Fgfr1,L,Mouse
Enox1,Fgfr1,L,Mouse
Enox2,Fgfr1,L,Mouse
Erfe,Fgfr1,L,Mouse
Ero1a,Fgfr1,L,Mouse
Fam20c,Fgfr1,L,Mouse
Fndc5,Fgfr1,L,Mouse
Frzb,Fgfr1,L,Mouse
Grem2,Fgfr1,L,Mouse
Hdgf,Fgfr1,L,Mouse
Igfals,Fgfr1,L,Mouse
Igfbp2,Fgfr1,L,Mouse
Igfbp3,Fgfr1,L,Mouse
Igfbp7,Fgfr1,L,Mouse
Igfbpl1,Fgfr1,L,Mouse
Iglon5,Fgfr1,L,Mouse
Il17d,Fgfr1,L,Mouse
Islr,Fgfr1,L,Mouse
Kazald1,Fgfr1,L,Mouse
Lad1,Fgfr1,L,Mouse
Lgi3,Fgfr1,L,Mouse
Lypd6,Fgfr1,L,Mouse
Mapt,Fgfr1,L,Mouse
Metrn,Fgfr1,L,Mouse
Metrnl,Fgfr1,L,Mouse
Mettl24,Fgfr1,L,Mouse
Nbl1,Fgfr1,L,Mouse
Ndfip1,Fgfr1,L,Mouse
Neto1,Fgfr1,L,Mouse
Ninj1,Fgfr1,L,Mouse
Ntn5,Fgfr1,L,Mouse
Nxph4,Fgfr1,L,Mouse
Nyx,Fgfr1,L,Mouse
Otor,Fgfr1,L,Mouse
Pcolce,Fgfr1,L,Mouse
Pdzd11,Fgfr1,L,Mouse
Pdzd2,Fgfr1,L,Mouse
Plac9,Fgfr1,L,Mouse
Plxdc1,Fgfr1,L,Mouse
Podn,Fgfr1,L,Mouse
Podnl1,Fgfr1,L,Mouse
Ptx4,Fgfr1,L,Mouse
Rtbdn,Fgfr1,L,Mouse
Sdcbp,Fgfr1,L,Mouse
Sfrp4,Fgfr1,L,Mouse
Sfrp5,Fgfr1,L,Mouse
Soga1,Fgfr1,L,Mouse
Sparc,Fgfr1,L,Mouse
Spata6,Fgfr1,L,Mouse
Spock2,Fgfr1,L,Mouse
Svbp,Fgfr1,L,Mouse
Tafa3,Fgfr1,L,Mouse
Tafa4,Fgfr1,L,Mouse
Timp4,Fgfr1,L,Mouse
Tmem25,Fgfr1,L,Mouse
Tub,Fgfr1,L,Mouse
Tulp1,Fgfr1,L,Mouse
Tulp2,Fgfr1,L,Mouse
Tulp3,Fgfr1,L,Mouse
Vasn,Fgfr1,L,Mouse
Vstm2a,Fgfr1,L,Mouse
Vwc2,Fgfr1,L,Mouse
Wnt10a,Fgfr1,L,Mouse
Wnt10b,Fgfr1,L,Mouse
Wnt9a,Fgfr1,L,Mouse
Ybx1,Fgfr1,L,Mouse
Zbed3,Fgfr1,L,Mouse
Adam23,Fgfr2,L,Mouse
Adamtsl5,Fgfr2,L,Mouse
Adgrb1,Fgfr2,L,Mouse
Aggf1,Fgfr2,L,Mouse
Angptl6,Fgfr2,L,Mouse
C1ql1,Fgfr2,L,Mouse
C1ql2,Fgfr2,L,Mouse
C1ql3,Fgfr2,L,Mouse
C1ql4,Fgfr2,L,Mouse
C1qtnf12,Fgfr2,L,Mouse
C1qtnf2,Fgfr2,L,Mouse
C1qtnf4,Fgfr2,L,Mouse
C1qtnf6,Fgfr2,L,Mouse
Gm1673,Fgfr2,L,Mouse
1600012H06Rik,Fgfr2,L,Mouse
Cbln1,Fgfr2,L,Mouse
Cbln2,Fgfr2,L,Mouse
Cbln3,Fgfr2,L,Mouse
Cbln4,Fgfr2,L,Mouse
Ccdc3,Fgfr2,L,Mouse
Cdcp2,Fgfr2,L,Mouse
Chadl,Fgfr2,L,Mouse
Creg2,Fgfr2,L,Mouse
Cryab,Fgfr2,L,Mouse
Dand5,Fgfr2,L,Mouse
Deaf1,Fgfr2,L,Mouse
Emc10,Fgfr2,L,Mouse
Enho,Fgfr2,L,Mouse
Enox1,Fgfr2,L,Mouse
Enox2,Fgfr2,L,Mouse
Erfe,Fgfr2,L,Mouse
Ero1a,Fgfr2,L,Mouse
Fam20c,Fgfr2,L,Mouse
Fndc5,Fgfr2,L,Mouse
Frzb,Fgfr2,L,Mouse
Grem2,Fgfr2,L,Mouse
Hdgf,Fgfr2,L,Mouse
Igfals,Fgfr2,L,Mouse
Igfbp2,Fgfr2,L,Mouse
Igfbp3,Fgfr2,L,Mouse
Igfbp7,Fgfr2,L,Mouse
Igfbpl1,Fgfr2,L,Mouse
Iglon5,Fgfr2,L,Mouse
Il17d,Fgfr2,L,Mouse
Islr,Fgfr2,L,Mouse
Kazald1,Fgfr2,L,Mouse
Lad1,Fgfr2,L,Mouse
Lgi3,Fgfr2,L,Mouse
Lypd6,Fgfr2,L,Mouse
Mapt,Fgfr2,L,Mouse
Metrn,Fgfr2,L,Mouse
Metrnl,Fgfr2,L,Mouse
Mettl24,Fgfr2,L,Mouse
Nbl1,Fgfr2,L,Mouse
Ndfip1,Fgfr2,L,Mouse
Neto1,Fgfr2,L,Mouse
Ninj1,Fgfr2,L,Mouse
Ntn5,Fgfr2,L,Mouse
Nxph4,Fgfr2,L,Mouse
Nyx,Fgfr2,L,Mouse
Otor,Fgfr2,L,Mouse
Pcolce,Fgfr2,L,Mouse
Pdzd11,Fgfr2,L,Mouse
Pdzd2,Fgfr2,L,Mouse
Plac9,Fgfr2,L,Mouse
Plxdc1,Fgfr2,L,Mouse
Podn,Fgfr2,L,Mouse
Podnl1,Fgfr2,L,Mouse
Ptx4,Fgfr2,L,Mouse
Rtbdn,Fgfr2,L,Mouse
Sdcbp,Fgfr2,L,Mouse
Sfrp4,Fgfr2,L,Mouse
Sfrp5,Fgfr2,L,Mouse
Soga1,Fgfr2,L,Mouse
Sparc,Fgfr2,L,Mouse
Spata6,Fgfr2,L,Mouse
Spock2,Fgfr2,L,Mouse
Svbp,Fgfr2,L,Mouse
Tafa3,Fgfr2,L,Mouse
Tafa4,Fgfr2,L,Mouse
Timp4,Fgfr2,L,Mouse
Tmem25,Fgfr2,L,Mouse
Tub,Fgfr2,L,Mouse
Tulp1,Fgfr2,L,Mouse
Tulp2,Fgfr2,L,Mouse
Tulp3,Fgfr2,L,Mouse
Vasn,Fgfr2,L,Mouse
Vstm2a,Fgfr2,L,Mouse
Vwc2,Fgfr2,L,Mouse
Wnt10a,Fgfr2,L,Mouse
Wnt10b,Fgfr2,L,Mouse
Wnt9a,Fgfr2,L,Mouse
Ybx1,Fgfr2,L,Mouse
Zbed3,Fgfr2,L,Mouse
Adam23,Fgfr3,L,Mouse
Adamtsl5,Fgfr3,L,Mouse
