ligand,receptor,pred,l3,type
ABHD18,ADGRB3,0.6295831799507141,0.0,LR
ABHD18,ADGRE1,0.5770533084869385,0.0,LR
ABHD18,ADGRL3,0.9350534081459044,0.0,LR
ABHD18,ADRA1B,0.9013557434082032,0.3178470201404759,LR
ABHD18,ADRA2C,0.8799022436141968,0.3178470201404759,LR
ABHD18,ADRB1,0.7750179171562195,0.2156564146169711,LR
ABHD18,ATRNL1,0.7821013331413269,0.0,LR
ABHD18,CACNA2D2,0.7809122204780579,0.0,LR
ABHD18,CACNA2D3,0.8348974585533142,0.0,LR
ABHD18,CACNA2D4,0.7287185788154602,0.0,LR
ABHD18,CADM2,0.6472300887107849,0.0,LR
ABHD18,CASR,0.6295065879821777,0.14317963953972002,LR
ABHD18,CD180,0.943678379058838,0.12391854791614286,LR
ABHD18,CD244,0.0953014716506004,0.0,LR
ABHD18,CDHR5,0.5355627536773682,0.0,LR
ABHD18,CHRM2,0.9658979177474976,0.3178470201404758,LR
ABHD18,CHRM4,0.916844367980957,0.0,LR
ABHD18,CHRM5,0.9377307295799256,0.16518217454336415,LR
ABHD18,CLEC12B,0.1291232854127884,0.0,LR
ABHD18,CLEC1A,0.3130101859569549,0.0,LR
ABHD18,CLEC1B,0.2116699665784835,0.0,LR
ABHD18,CLEC4A,0.0538562759757041,0.0,LR
ABHD18,CLEC5A,0.2009498476982116,0.0,LR
ABHD18,CLEC7A,0.154967114329338,0.0,LR
ABHD18,CLEC9A,0.1746695339679718,0.0,LR
ABHD18,CNGA1,0.2165154814720153,0.0,LR
ABHD18,CNGA3,0.204454630613327,0.0,LR
ABHD18,CNTN5,0.6451852321624756,0.0,LR
ABHD18,CNTN6,0.7812173962593079,0.0,LR
ABHD18,CRELD1,0.7862335443496704,0.0,LR
ABHD18,CYSLTR2,0.6853640079498291,0.0,LR
ABHD18,DNER,0.672391951084137,0.0,LR
ABHD18,DRD1,0.9032352566719056,0.20965676640857167,LR
ABHD18,DRD3,0.9270479083061218,0.3667135739622661,LR
ABHD18,DRD5,0.927895963191986,0.3667135739622661,LR
ABHD18,DSCAML1,0.7097983956336975,0.0,LR
ABHD18,ELAPOR1,0.6226317286491394,0.0,LR
ABHD18,ELAPOR2,0.683163046836853,0.0,LR
ABHD18,FCGR2B,0.1865917891263961,0.0,LR
ABHD18,FCGR2C,0.2635459005832672,0.0,LR
ABHD18,FCRL3,0.2201756089925766,0.0,LR
ABHD18,FCRL5,0.2055312395095825,0.0,LR
ABHD18,FCRL6,0.2764413952827453,0.0,LR
